"scalar1of1Gradient:0","scalar1of1Gradient:1","scalar1of1","Result:0","Result:1","Result:2","IntegrationTime","Vorticity:0","Vorticity:1","Vorticity:2","Rotation","AngularVelocity","Normals:0","Normals:1","Normals:2","vtkOriginalPointIds","Points:0","Points:1","Points:2"
-0.00111628790794583,0.00199300588274831,1304.50302095436,-0.00111628790794583,0.00199300588274831,0,59516.0814177907,0,0,4.28929083341982e-006,0,0,0,0,-1,6279,58865.53125,67431.5,-2.27107436047251e-013
-0.0011143611327942,0.00190042497274018,1304.51104430444,-0.0011143611327942,0.00190042497274018,0,61063.8137216061,0,0,-4.87951726075955e-008,0,0,0,0,-1,6280,58863.75,67435,-2.27107436047251e-013
-0.00111556212644445,0.00187954769252099,1304.51270020834,-0.00111556212644445,0.00187954769252099,0,61465.2053695561,0,0,1.74426239665124e-006,0,0,0,0,-1,6281,58863.375,67435.5,-2.27107436047251e-013
-0.00113107718146583,0.00178906047246923,1304.52016522579,-0.00113107718146583,0.00178906047246923,0,63082.798437555,0,0,-3.64008133259998e-008,0,0,0,0,-1,6282,58861.53125,67438.5,-2.27107436047251e-013
-0.00115771432833893,0.00172510583880168,1304.52753916591,-0.00115771432833893,0.00172510583880168,0,64753.1675971309,0,0,2.53979198093831e-006,0,0,0,0,-1,6283,58859.59375,67441.5,-2.27107436047251e-013
-0.00118871317466535,0.00166572161094775,1304.53487227758,-0.00118871317466535,0.00166572161094775,0,66454.9325159059,0,0,8.7634997465901e-006,0,0,0,0,-1,6284,58857.59375,67444.5,-2.27107436047251e-013
-0.00120690725472816,0.00159230457640321,1304.54201085922,-0.00120690725472816,0.00159230457640321,0,68182.6348140281,0,0,-2.91935230140668e-006,0,0,0,0,-1,6285,58855.46875,67447,-2.27107436047251e-013
-0.00120940590516444,0.00157714110264808,1304.54364114898,-0.00120940590516444,0.00157714110264808,0,68648.4017660515,0,0,-1.29553719180336e-005,0,0,0,0,-1,6286,58855,67448,-2.27107436047251e-013
-0.00124621676985447,0.0015399642002882,1304.55068600757,-0.00124621676985447,0.0015399642002882,0,70427.313669174,0,0,5.88179880128789e-006,0,0,0,0,-1,6287,58852.8125,67450.5,-2.27107436047251e-013
-0.00132467741439911,0.00153809475334075,1304.55772086938,-0.00132467741439911,0.00153809475334075,0,72211.9934191924,0,0,2.12176556420229e-006,0,0,0,0,-1,6288,58850.53125,67453.5,-2.27107436047251e-013
-0.00134693835918557,0.00154098672626484,1304.56500069934,-0.00134693835918557,0.00154098672626484,0,73953.7190613812,0,0,-2.26353841735077e-006,0,0,0,0,-1,6289,58848.21875,67456,-2.27107436047251e-013
-0.00132864088066044,0.00154254961895728,1304.57232327653,-0.00132864088066044,0.00154254961895728,0,75681.170667527,0,0,-5.48635505339881e-006,0,0,0,0,-1,6290,58845.90625,67458.5,-2.27107436047251e-013
-0.00130154651332469,0.00152572104065039,1304.57941080376,-0.00130154651332469,0.00152572104065039,0,77417.7956739262,0,0,2.96903231511885e-006,0,0,0,0,-1,6291,58843.59375,67461.5,-2.27107436047251e-013
-0.00124978258800367,0.00149761585976164,1304.58627623186,-0.00124978258800367,0.00149761585976164,0,79180.7545382861,0,0,-3.1793376905599e-006,0,0,0,0,-1,6292,58841.3125,67464,-2.27107436047251e-013
-0.0011922979536082,0.00144097448655581,1304.59301630615,-0.0011922979536082,0.00144097448655581,0,80993.2984291267,0,0,5.43409701003752e-006,0,0,0,0,-1,6293,58839.0625,67466.5,-2.27107436047251e-013
-0.0011402711805396,0.00136322764567007,1304.59970024656,-0.0011402711805396,0.00136322764567007,0,82883.6658707997,0,0,2.33033871681703e-006,0,0,0,0,-1,6294,58836.8125,67469.5,-2.27107436047251e-013
-0.00112463269572426,0.00134358705414283,1304.60133052426,-0.00112463269572426,0.00134358705414283,0,83346.1900756573,0,0,9.55486746334726e-008,0,0,0,0,-1,6295,58836.25,67470,-2.27107436047251e-013
-0.00104614396056742,0.00125319548159814,1304.60717710671,-0.00104614396056742,0.00125319548159814,0,85364.0176823913,0,0,-2.27907560168791e-006,0,0,0,0,-1,6296,58833.96875,67473,-2.27107436047251e-013
-0.000965693226075725,0.00117893520178874,1304.61269030418,-0.000965693226075725,0.00117893520178874,0,87529.7921828878,0,0,-5.15390058265926e-006,0,0,0,0,-1,6297,58831.71875,67475.5,-2.27107436047251e-013
-0.000891561979126583,0.00109366932524029,1304.6179501776,-0.000891561979126583,0.00109366932524029,0,89849.7584431371,0,0,7.79673132749142e-007,0,0,0,0,-1,6298,58829.5,67478.5,-2.27107436047251e-013
-0.000850153615248889,0.00101370855880737,1304.6226519656,-0.000850153615248889,0.00101370855880737,0,92355.4054214472,0,0,-2.94494214787948e-006,0,0,0,0,-1,6299,58827.21875,67481,-2.27107436047251e-013
-0.000812681025967426,0.000956973104069009,1304.62702999244,-0.000812681025967426,0.000956973104069009,0,95027.7382438839,0,0,3.32962414081976e-006,0,0,0,0,-1,6300,58824.9375,67483.5,-2.27107436047251e-013
-0.00076714075633458,0.00087636082294271,1304.63135693254,-0.00076714075633458,0.00087636082294271,0,97843.8036407453,0,0,3.09025871463796e-006,0,0,0,0,-1,6301,58822.65625,67486.5,-2.27107436047251e-013
-0.000728535839160608,0.00078867235472613,1304.63553319659,-0.000728535839160608,0.00078867235472613,0,100879.392772732,0,0,6.11940298357286e-006,0,0,0,0,-1,6302,58820.28125,67489,-2.27107436047251e-013
-0.000667460140050018,0.000711267896210128,1304.63907734455,-0.000667460140050018,0.000711267896210128,0,104172.333749219,0,0,-1.64084560581912e-006,0,0,0,0,-1,6303,58817.875,67491.5,-2.27107436047251e-013
-0.000611787846044234,0.000620584008128156,1304.64226777449,-0.000611787846044234,0.000620584008128156,0,107713.401541841,0,0,4.85908467194928e-006,0,0,0,0,-1,6304,58815.4375,67494,-2.27107436047251e-013
-0.000604094174893071,0.000604312688699185,1304.64277916752,-0.000604094174893071,0.000604312688699185,0,111546.382651776,0,0,5.92332767238261e-006,0,0,0,0,-1,6305,58815.03125,67494.5,-2.27107436047251e-013
-0.000599333349099887,0.000595005182460722,1304.6430949826,-0.000599333349099887,0.000595005182460722,0,112129.928428257,0,0,2.57639861236882e-007,0,0,0,0,-1,6306,58814.75,67495,-2.27107436047251e-013
